Date,pred_vix,upper_thresh,exceed_thresh,diff_exceed_thresh,hedge_signal
1997-01-02,20.920000076293945,38.331833709166084,0,0.0,0.0
1997-01-03,21.139999389648438,38.331833709166084,0,0.0,0.0
1997-01-06,19.1299991607666,38.331833709166084,0,0.0,0.0
1997-01-07,19.889999389648438,38.331833709166084,0,0.0,0.0
1997-01-08,19.350000381469727,38.331833709166084,0,0.0,0.0
1997-01-09,20.239999771118164,38.331833709166084,0,0.0,0.0
1997-01-10,20.90999984741211,38.331833709166084,0,0.0,0.0
1997-01-13,19.6299991607666,38.331833709166084,0,0.0,0.0
1997-01-14,19.84000015258789,38.331833709166084,0,0.0,0.0
1997-01-15,19.270000457763672,38.331833709166084,0,0.0,0.0
1997-01-16,19.399999618530273,38.331833709166084,0,0.0,0.0
1997-01-17,19.610000610351562,38.331833709166084,0,0.0,0.0
1997-01-20,18.6299991607666,38.331833709166084,0,0.0,0.0
1997-01-21,18.600000381469727,38.331833709166084,0,0.0,0.0
1997-01-22,17.809999465942383,38.331833709166084,0,0.0,0.0
1997-01-23,17.09000015258789,38.331833709166084,0,0.0,0.0
1997-01-24,18.469999313354492,38.331833709166084,0,0.0,0.0
1997-01-27,19.329999923706055,38.331833709166084,0,0.0,0.0
1997-01-28,20.15999984741211,38.331833709166084,0,0.0,0.0
1997-01-29,20.739999771118164,38.331833709166084,0,0.0,0.0
1997-01-30,20.229999542236328,38.331833709166084,0,0.0,0.0
1997-01-31,19.469999313354492,38.331833709166084,0,0.0,0.0
1997-02-03,19.469999313354492,38.331833709166084,0,0.0,0.0
1997-02-04,19.579999923706055,38.331833709166084,0,0.0,0.0
1997-02-05,19.43000030517578,38.331833709166084,0,0.0,0.0
1997-02-06,21.059999465942383,38.331833709166084,0,0.0,0.0
1997-02-07,20.15999984741211,38.331833709166084,0,0.0,0.0
1997-02-10,18.899999618530273,38.331833709166084,0,0.0,0.0
1997-02-11,20.649999618530273,38.331833709166084,0,0.0,0.0
1997-02-12,19.969999313354492,38.331833709166084,0,0.0,0.0
1997-02-13,19.479999542236328,38.331833709166084,0,0.0,0.0
1997-02-14,19.229999542236328,38.331833709166084,0,0.0,0.0
1997-02-18,19.18000030517578,38.331833709166084,0,0.0,0.0
1997-02-19,19.700000762939453,38.331833709166084,0,0.0,0.0
1997-02-20,20.610000610351562,38.331833709166084,0,0.0,0.0
1997-02-21,21.40999984741211,38.331833709166084,0,0.0,0.0
1997-02-24,20.549999237060547,38.331833709166084,0,0.0,0.0
1997-02-25,19.84000015258789,38.331833709166084,0,0.0,0.0
1997-02-26,19.979999542236328,38.331833709166084,0,0.0,0.0
1997-02-27,20.739999771118164,38.331833709166084,0,0.0,0.0
1997-02-28,21.079999923706055,38.331833709166084,0,0.0,0.0
1997-03-03,21.100000381469727,38.331833709166084,0,0.0,0.0
1997-03-04,20.889999389648438,38.331833709166084,0,0.0,0.0
1997-03-05,20.6200008392334,38.331833709166084,0,0.0,0.0
1997-03-06,19.489999771118164,38.331833709166084,0,0.0,0.0
1997-03-07,20.479999542236328,38.331833709166084,0,0.0,0.0
1997-03-10,19.31999969482422,38.331833709166084,0,0.0,0.0
1997-03-11,19.0,38.331833709166084,0,0.0,0.0
1997-03-12,19.25,38.331833709166084,0,0.0,0.0
1997-03-13,19.610000610351562,38.331833709166084,0,0.0,0.0
1997-03-14,19.790000915527344,38.331833709166084,0,0.0,0.0
1997-03-17,19.809999465942383,38.331833709166084,0,0.0,0.0
1997-03-18,20.950000762939453,38.331833709166084,0,0.0,0.0
1997-03-19,21.260000228881836,38.331833709166084,0,0.0,0.0
1997-03-20,21.739999771118164,38.331833709166084,0,0.0,0.0
1997-03-21,21.219999313354492,38.331833709166084,0,0.0,0.0
1997-03-24,19.690000534057617,38.331833709166084,0,0.0,0.0
1997-03-25,20.059999465942383,38.331833709166084,0,0.0,0.0
1997-03-26,19.260000228881836,38.331833709166084,0,0.0,0.0
1997-03-27,18.31999969482422,38.331833709166084,0,0.0,0.0
1997-03-31,20.5,38.331833709166084,0,0.0,0.0
1997-04-01,22.139999389648438,38.331833709166084,0,0.0,0.0
1997-04-02,20.84000015258789,38.331833709166084,0,0.0,0.0
1997-04-03,21.299999237060547,38.331833709166084,0,0.0,0.0
1997-04-04,21.190000534057617,38.331833709166084,0,0.0,0.0
1997-04-07,19.229999542236328,38.331833709166084,0,0.0,0.0
1997-04-08,18.510000228881836,38.331833709166084,0,0.0,0.0
1997-04-09,18.440000534057617,38.331833709166084,0,0.0,0.0
1997-04-10,18.559999465942383,38.331833709166084,0,0.0,0.0
1997-04-11,19.010000228881836,38.331833709166084,0,0.0,0.0
1997-04-14,19.760000228881836,38.331833709166084,0,0.0,0.0
1997-04-15,19.09000015258789,38.331833709166084,0,0.0,0.0
1997-04-16,18.25,38.331833709166084,0,0.0,0.0
